arquivo,doi
Abramovay_Lotta_2022.pdf,
Campos 2017.pdf,10.1590/1678-987317256107
Limongi 2017.pdf,10.25091/S0101-3300201700030008
Peters - Bringing political science back into public administration research.pdf,10.1111/gove.12705
Palermo-V-2000-Como-se-governa-o-Brasil.pdf,10.1590/S0011-52582000000300004
Arretche 2018.pdf,10.17666/339613/2018
Panizza-etal - intro and conclusion.pdf,
Li├▒an 2017.pdf,10.1080/13510347.2016.1251905
Oliveira_Lotta_2019_federalismo.pdf,10.38116/ppp52
Singer-Tres_partidos_brasileiros.pdf,
Alves et al 2024.pdf,10.1590/0103-3352.2024.43.269810pt
Patchwork Leviathan Book.pdf,
Sacchet 2018.pdf,10.7440/colombiaint95.2018.02
alonso2016.pdf,10.1111/blar.12470
Vieira et al 2022_supremocracia.pdf,10.25091/S01013300202200030008
Falleti 2005.pdf,10.1017/S0003055405051695
Gatto 2025 - Gender quotas.pdf,10.1093/9780198935346.001.0001
Rocha 2019.pdf,10.1590/001152582019189
