id,status,tipo_texto_fisico,proxy,proxy_score,ano_original,autores_original,titulo_original,doi_original,url_original,fonte_pdf,pdf_url,pdf_path,titulo_pdf_baixado,doi_pdf_baixado,ano_pdf_baixado,nota
1,pdf_proxy_oa_baixado,proxy_oa_tematico,sim,0.2935,2024,N. Di Fazio; G. Delogu; D. Morena; Eugenia Carfora; Dalila Tripi; R. Rinaldi; P. Frati; V. Fineschi,Telehealth Intervention: A Proposal for a Telemedicine Manual to Ascertain the Civil Disability Status in Italy,10.3390/ijerph21030253,https://www.semanticscholar.org/paper/daf0642c3cc63c4fe571e7d8a2c7fd20371e796d,openalex_proxy,https://revistas.comillas.edu/index.php/revistaicade/article/download/12578/12050,/home/gustavodetarso/Documentos/mppg/disciplinas/04_decisoes_baseadas_em_evidencia/atividades/artigo/dados_prisma/fulltext_artigos/01_2024_telehealth_intervention_a_proposal_for_a_telemedicine_manual_to_ascertain_the_civil_disability_status_PROXY_04.pdf,A Contribution to a European Strategy for the Well-being of Citizens in the Face of Automation,10.14422/icade.i109.y2020.002,2020,download ok
2,sem_pdf_baixado,ausente,nao,,2018,Geiger; Garthwaite; Warren; Bambra,Assessing work disability for social security benefits: international models for the direct assessment of work capacity,10.1080/09638288.2017.1366556,https://doi.org/10.1080/09638288.2017.1366556,,,,,,,nenhum candidato baixável
3,pdf_proxy_oa_baixado,proxy_oa_tematico,sim,0.2433,2025,Kim; Kim,Medical certification in sickness benefit scheme (II): practical approaches for evaluating work disability,10.35371/aoem.2025.37.e24,https://doi.org/10.35371/aoem.2025.37.e24,openalex_proxy,https://www.econstor.eu/bitstream/10419/302866/1/1902148770.pdf,/home/gustavodetarso/Documentos/mppg/disciplinas/04_decisoes_baseadas_em_evidencia/atividades/artigo/dados_prisma/fulltext_artigos/03_2025_medical_certification_in_sickness_benefit_scheme_ii_practical_approaches_for_evaluating_work_disabilit_PROXY_03.pdf,A study on the employment and wage outcomes of people with disabilities,10.54394/yrcn8597,2024,download ok
4,pdf_proxy_oa_baixado,proxy_oa_tematico,sim,0.2872,2011,Romy Steenbeek; Antonius JM Schellart; Henny Mulders; Johannes R. Anema; Herman Kroneman; Jan Besseling,The development of instruments to measure the work disability assessment behaviour of insurance physicians,10.1186/1471-2458-11-1,https://doi.org/10.1186/1471-2458-11-1,openalex_proxy,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0049760&type=printable,/home/gustavodetarso/Documentos/mppg/disciplinas/04_decisoes_baseadas_em_evidencia/atividades/artigo/dados_prisma/fulltext_artigos/04_2011_the_development_of_instruments_to_measure_the_work_disability_assessment_behaviour_of_insurance_physic_PROXY_03.pdf,Return to Work Coordination Programmes for Work Disability: A Meta-Analysis of Randomised Controlled Trials,10.1371/journal.pone.0049760,2012,download ok
5,pdf_proxy_oa_baixado,proxy_oa_tematico,sim,0.2587,2025,Yangwoo Kim; Inah Kim,Medical certification in sickness benefit schemes (I): theoretical perspectives and return-to-work,10.35371/aoem.2025.37.e23,https://www.semanticscholar.org/paper/38751410ad9679234d66dc6f80e9c29dc676e894,openalex_proxy,https://pureadmin.qub.ac.uk/ws/files/13113317/LTS_Realist_Review_JOOR_author_copy.pdf,/home/gustavodetarso/Documentos/mppg/disciplinas/04_decisoes_baseadas_em_evidencia/atividades/artigo/dados_prisma/fulltext_artigos/05_2025_medical_certification_in_sickness_benefit_schemes_i_theoretical_perspectives_and_return_to_work_PROXY_04.pdf,Management of Long Term Sickness Absence: A Systematic Realist Review,10.1007/s10926-012-9362-4,2012,download ok
6,pdf_proxy_oa_baixado,proxy_oa_tematico,sim,0.4421,2012,Jessica Anner; Urban Schwegler; Regina Kunz; Bruno Trezzini; Wout de Boer,"Evaluation of work disability and the international classification of functioning, disability and health: what to expect and what not",10.1186/1471-2458-12-470,https://doi.org/10.1186/1471-2458-12-470,openalex_proxy,https://pure.au.dk/ws/files/335001708/20_Years_of_ICF_International_Classification_of_Functioning_Disability_and_Health.pdf,/home/gustavodetarso/Documentos/mppg/disciplinas/04_decisoes_baseadas_em_evidencia/atividades/artigo/dados_prisma/fulltext_artigos/06_2012_evaluation_of_work_disability_and_the_international_classification_of_functioning_disability_and_healt_PROXY_03.pdf,"20 Years of ICF—International Classification of Functioning, Disability and Health: Uses and Applications around the World",10.3390/ijerph191811321,2022,download ok
7,pdf_proxy_oa_baixado,proxy_oa_tematico,sim,0.3171,2021,Vasudeva; Sheikh; Sahu,"International Classification of Functioning, Disability, and Health augmented by telemedicine and artificial intelligence for assessment of functional disability",10.4103/jfmpc.jfmpc_692_21,https://doi.org/10.4103/jfmpc.jfmpc_692_21,openalex_proxy,https://www.jmir.org/2023/1/e44030/PDF,/home/gustavodetarso/Documentos/mppg/disciplinas/04_decisoes_baseadas_em_evidencia/atividades/artigo/dados_prisma/fulltext_artigos/07_2021_international_classification_of_functioning_disability_and_health_augmented_by_telemedicine_and_artifi_PROXY_02.pdf,"Quality, Usability, and Effectiveness of mHealth Apps and the Role of Artificial Intelligence: Current Scenario and Challenges",10.2196/44030,2023,download ok
8,pdf_proxy_oa_baixado,proxy_oa_tematico,sim,0.2686,2021,T. Rosburg; R. Kunz; B. Trezzini; Urban Schwegler; J. Jeger,The assessment of capacity limitations in psychiatric work disability evaluations by the social functioning scale Mini-ICF-APP,10.1186/s12888-021-03467-w,https://www.semanticscholar.org/paper/f854bb67fbb1885b831ece54c56d148e7ab82441,openalex_proxy,https://clinical-practice-and-epidemiology-in-mental-health.com/VOLUME/19/ELOCATOR/e174501792212201/PDF/,/home/gustavodetarso/Documentos/mppg/disciplinas/04_decisoes_baseadas_em_evidencia/atividades/artigo/dados_prisma/fulltext_artigos/08_2021_the_assessment_of_capacity_limitations_in_psychiatric_work_disability_evaluations_by_the_social_functi_PROXY_05.pdf,An Innovative Approach to the Dismantlement of a Forensic Psychiatric Hospital in Italy: A Ten-year Impact Evaluation,10.2174/18740179-v18-e221221-2022-11,2022,download ok
9,pdf_proxy_oa_baixado,proxy_oa_tematico,sim,0.3479,2018,Riley Bove; Carolyn Bevan; Elizabeth Crabtree; Chao Zhao; Refujia Gomez; Priya Garcha; John Morrissey; Jason Dierkhising; Ari Green; Stephen L. Hauser; Bruce Cree; Mitchell T. Wallin; Jeffrey M. Gelfand,"Toward a low-cost, in-home, telemedicine-enabled assessment of disability in multiple sclerosis",10.1177/1352458518793527,https://doi.org/10.1177/1352458518793527,openalex_proxy,https://eprints.soton.ac.uk/445228/1/Stuart_et_al_2020.pdf,/home/gustavodetarso/Documentos/mppg/disciplinas/04_decisoes_baseadas_em_evidencia/atividades/artigo/dados_prisma/fulltext_artigos/09_2018_toward_a_low_cost_in_home_telemedicine_enabled_assessment_of_disability_in_multiple_sclerosis_PROXY_02.pdf,Physical activity monitoring to assess disability progression in multiple sclerosis,10.1177/2055217320975185,2020,download ok
10,pdf_original_baixado,referencia_original,nao,,2023,Georgios Theotokatos; R. Escorpizo; T. Angelopoulos; Nikolaos Chrysagis; Jerome Bickenbach; Aikaterini Venieri; Konstantinos Karteroliotis; E. Grammatopoulou; E. Skordilis,"Psychometric Properties of the 12-Item World Health Organization Disability Assessment Schedule (WHODAS 2.0), Greek Version: A Cross-Sectional Study on Applicants of Welfare Benefits",10.7759/cureus.48588,https://www.semanticscholar.org/paper/a5195b792622a0c94aa4179aa293b6bb1ed12e0f,unpaywall,https://assets.cureus.com/uploads/original_article/pdf/192270/20231110-28225-doo2cw.pdf,/home/gustavodetarso/Documentos/mppg/disciplinas/04_decisoes_baseadas_em_evidencia/atividades/artigo/dados_prisma/fulltext_artigos/10_2023_psychometric_properties_of_the_12_item_world_health_organization_disability_assessment_schedule_whodas_01.pdf,"Psychometric Properties of the 12-Item World Health Organization Disability Assessment Schedule (WHODAS 2.0), Greek Version: A Cross-Sectional Study on Applicants of Welfare Benefits",10.7759/cureus.48588,2023,download ok
