"periodico","n_referencias"
"White Rose Research Online (University of Leeds, The University of Sheffield, University of York)",2
"BMC Medical Informatics and Decision Making",1
"BMC Pediatrics",1
"BMC Public Health",1
"British Journal of General Practice",1
"Cureus",1
"Disability and Rehabilitation",1
"Economic &amp; Political Weekly",1
"Epidemiology International",1
"European Journal of Public Health",1
"Frontiers in Public Health",1
"Journal of Public Administration Research and Theory",1
"Medycyna Pracy",1
"Telemedicine and e-Health",1
