"id","autores","ano","titulo","periodico","doi","url","eixo_inferido"
1,"SOARES, Ana Clara Araújo; NININ, Alessandra Cardoso da Silva; LIMA, Diana Vaz de",2019,"A SISTEMÁTICA DO ATESTMED NA CONCESSÃO DO ATESTADO POR INCAPACIDADE E SEU IMPACTO NOS GRANDES NÚMEROS DA PREVIDÊNCIA SOCIAL","","10.21902/rbp.v15i1.7272","https://core.ac.uk/download/622348010.pdf","Incapacidade funcional, ICF e capacidade laboral; Certificação médica, benefícios e seguridade social; IA, digitalização e apoio documental"
2,"Racha Ftouni; Baraa AlJardali; Maya Hamdanieh; Louna Ftouni; Nariman Salem",2022,"Challenges of Telemedicine during the COVID-19 pandemic: a systematic review","BMC Medical Informatics and Decision Making","10.1186/s12911-022-01952-0","https://doi.org/10.1186/s12911-022-01952-0","Telemedicina, teleperícia e consulta remota; Instrumentos, escalas e padronização da avaliação; IA, digitalização e apoio documental"
3,"Mark Gabbay; Lorraine C. Taylor; Linda Sheppard; Jim Hillage; Clare Bambra; Fiona Ford; Richard Preece; Nichole Taske; Michael P. Kelly",2011,"NICE guidance on long-term sickness and incapacity","British Journal of General Practice","10.3399/bjgp11x561221","https://doi.org/10.3399/bjgp11x561221","Incapacidade funcional, ICF e capacidade laboral; Certificação médica, benefícios e seguridade social; IA, digitalização e apoio documental"
4,"Osama Albasheer; S. Abdelwahab; Ibrahim Gosadi; Hatim Alessa; Afnan Madkhali; Afaf Hakami; Hanin Mobarki; Osama Mobarki; Jawaher Farji; R. Hakami; Khalid Mohammed Aldalgan; Murad Ahmed Mobarki; Atheer Abdulhadi Homadi; N. Alhazmi; Alhussain Mohammed Hakami",2026,"Telemedicine utilization and digital inclusion among people with disabilities in Saudi Arabia: post-pandemic associated factors and policy implications","Frontiers in Public Health","10.3389/fpubh.2026.1756958","https://www.semanticscholar.org/paper/ac96bb35713a60e485c8a8337db6c2ceff0a046d","Telemedicina, teleperícia e consulta remota; Incapacidade funcional, ICF e capacidade laboral; Instrumentos, escalas e padronização da avaliação; IA, digitalização e apoio documental"
5,"A. M; C. Rahul; Shriraam Karunakaran; Pankaj B Shah",2024,"A Study of Disability Severity, Barriers, and Facilitating Factors in Accessing Healthcare Among Differently Abled Adults","Cureus","10.7759/cureus.75018","https://www.semanticscholar.org/paper/0b30f5a1793c37aae5cad91e3f999e67725a6325","Incapacidade funcional, ICF e capacidade laboral; Instrumentos, escalas e padronização da avaliação"
6,"Romy Steenbeek; Antonius JM Schellart; Henny Mulders; Johannes R. Anema; Herman Kroneman; Jan Besseling",2011,"The development of instruments to measure the work disability assessment behaviour of insurance physicians","BMC Public Health","10.1186/1471-2458-11-1","https://doi.org/10.1186/1471-2458-11-1","Incapacidade funcional, ICF e capacidade laboral; Certificação médica, benefícios e seguridade social; Instrumentos, escalas e padronização da avaliação; IA, digitalização e apoio documental"
7,"Rajasulochana; Mohd Imran Khan",2026,"Does Having a Disability Certificate Ensure Benefits?","Economic &amp; Political Weekly","10.71279/epw.v61i06.42922","https://doi.org/10.71279/epw.v61i06.42922","Incapacidade funcional, ICF e capacidade laboral; Certificação médica, benefícios e seguridade social"
8,"Dijkstra",1901,"Making up incapacity for work?","","10.33540/2047","https://doi.org/10.33540/2047","Certificação médica, benefícios e seguridade social; Instrumentos, escalas e padronização da avaliação"
9,"Chris Feudtner; James A. Feinstein; Wenjun Zhong; Matt Hall; Dingwei Dai",2014,"Pediatric complex chronic conditions classification system version 2: updated for ICD-10 and complex medical technology dependence and transplantation","BMC Pediatrics","10.1186/1471-2431-14-199","https://doi.org/10.1186/1471-2431-14-199","Instrumentos, escalas e padronização da avaliação; IA, digitalização e apoio documental"
10,"Roy Sainsbury; Jo Davidson",2006,"Routes Onto Incapacity Benefits: Findings from Qualitative Research","White Rose Research Online (University of Leeds, The University of Sheffield, University of York)","","https://openalex.org/W104243845","Incapacidade funcional, ICF e capacidade laboral; Certificação médica, benefícios e seguridade social"
11,"G. Przysada; Justyna Kilian; Agnieszka Wiśniowska-Szurlej; B. Sozański; Paweł Piwoński; M. Drużbicki; A. Wilmowska-Pietruszyńska; Agnieszka Ćwirlej-Sozańska",2019,"[An assessment of work ability after the completion of rehabilitation as part of disability pension prevention of the Social Insurance Institution among people with chronic musculoskeletal diseases].","Medycyna Pracy","10.13075/mp.5893.00826","https://www.semanticscholar.org/paper/876b104002033d77ff560c3d09500024c01bdde0","Incapacidade funcional, ICF e capacidade laboral; Certificação médica, benefícios e seguridade social; Instrumentos, escalas e padronização da avaliação; IA, digitalização e apoio documental"
12,"Sá; Matos",2020,"Medical certificate of disability: a descriptive analysis of Aveiro region, from 2010 to 2016","European Journal of Public Health","10.1093/eurpub/ckaa166.633","https://doi.org/10.1093/eurpub/ckaa166.633","Incapacidade funcional, ICF e capacidade laboral; Certificação médica, benefícios e seguridade social; Instrumentos, escalas e padronização da avaliação; IA, digitalização e apoio documental"
13,"Guo; Togher; Power; Hutomo; Yang; Tay; Yen; Koh",2017,"Assessment of Aphasia Across the International Classification of Functioning, Disability and Health Using an iPad-Based Application","Telemedicine and e-Health","10.1089/tmj.2016.0072","https://doi.org/10.1089/tmj.2016.0072","Telemedicina, teleperícia e consulta remota; Incapacidade funcional, ICF e capacidade laboral; Instrumentos, escalas e padronização da avaliação; IA, digitalização e apoio documental"
14,"VMMC & Safdarjung Hospital, New Delhi-110029; Yadav",2016,"Mental Disability: A Retrospective Study of Socio-Clinical Profile of Patients Seeking Disability Certificate at a Tertiary Care Centre in Delhi","Epidemiology International","10.24321/2455.7048.201703","https://doi.org/10.24321/2455.7048.201703","Incapacidade funcional, ICF e capacidade laboral"
15,"Gao; Foster; Liu",2019,"Disability concentration and access to rehabilitation services: a pilot spatial assessment applying geographic information system analysis","Disability and Rehabilitation","10.1080/09638288.2018.1468931","https://doi.org/10.1080/09638288.2018.1468931","Incapacidade funcional, ICF e capacidade laboral; Instrumentos, escalas e padronização da avaliação; IA, digitalização e apoio documental"
16,"Mackett, Roger L; Amin, Sewa; Mindell, Jennifer S; Yaffe, Steve",2025,"A meta-review of literature reviews of disability, travel and inequalities","","","https://core.ac.uk/download/631287557.pdf","Incapacidade funcional, ICF e capacidade laboral; Certificação médica, benefícios e seguridade social; IA, digitalização e apoio documental"
17,"Nogueira, Camila Lima",2020,"A avaliação da deficiência na trajetória do benefício de prestação continuada","","","https://core.ac.uk/download/372984850.pdf","Incapacidade funcional, ICF e capacidade laboral; Certificação médica, benefícios e seguridade social; Instrumentos, escalas e padronização da avaliação; IA, digitalização e apoio documental"
18,"Anne Corden; Roy Sainsbury",2001,"Incapacity Benefits and Work Incentives","White Rose Research Online (University of Leeds, The University of Sheffield, University of York)","","https://openalex.org/W589229266","Certificação médica, benefícios e seguridade social; Instrumentos, escalas e padronização da avaliação"
19,"Steven Kelman; John N. Friedman",2009,"Performance Improvement and Performance Dysfunction: An Empirical Examination of Distortionary Impacts of the Emergency Room Wait-Time Target in the English National Health Service","Journal of Public Administration Research and Theory","10.1093/jopart/mun028","https://doi.org/10.1093/jopart/mun028","IA, digitalização e apoio documental"
20,"J. Deveau",2011,"Workplace accommodation and audit-based evaluation process for compliance with the Employment Equity Act: inclusionary practices that exclude—an institutional ethnography","","10.29173/cjs10479","https://www.semanticscholar.org/paper/b5089a633ee75eb08bfe9603cf8afc7d69360fdc","Incapacidade funcional, ICF e capacidade laboral; Instrumentos, escalas e padronização da avaliação"
