id_registro,titulo,autores,ano,periodico,doi,url,url_pdf_aberto,resumo,fontes,consultas_busca,pontuacao_relevancia,status_pre_triagem_ia,escore_aderencia_ia,recomendacao_ia,confianca_ia,bloco_tematico_ia,criterio_inclusao_ia,criterio_exclusao_ia,justificativa_ia,decisao_titulo_resumo,motivo_exclusao_titulo_resumo,texto_completo_local,decisao_texto_completo,motivo_exclusao_texto_completo,incluir_final,observacoes,pais_contexto,objetivo_estudo,desenho_metodo,amostra_base,achados_principais,limitacoes,contribuicao_pergunta
semantic_scholar:daf0642c3cc63c4fe571e7d8a2c7fd20371e796d,Telehealth Intervention: A Proposal for a Telemedicine Manual to Ascertain the Civil Disability Status in Italy,N. Di Fazio; G. Delogu; D. Morena; Eugenia Carfora; Dalila Tripi; R. Rinaldi; P. Frati; V. Fineschi,2024,International Journal of Environmental Research and Public Health,10.3390/ijerph21030253,https://www.semanticscholar.org/paper/daf0642c3cc63c4fe571e7d8a2c7fd20371e796d,https://www.mdpi.com/1660-4601/21/3/253/pdf?version=1708613056,"(1) This paper aims to propose a telematic method for assessing the state of disability by a social worker member of the Medico-Legal Commissions of INPS. (2) We have proceeded to delve into and compare the current methods with new strategies to enhance the experience linked to the assessment of the status of disability in terms of timing and accessibility, eliminating the need for a direct visit. (3) The proposed protocol can be applied in cases where patients cannot be physically moved, following a medical visit at home, and when the mere evaluation of documents is sufficient. In both cases, a remote session with the Commission is necessary to fill in the required information about the socio-environmental section. This protocol can be applied to different platforms such as Skype™ since it is free and widely used throughout the country. (4) It should be noted that telemedicine solutions cannot completely replace face-to-face interaction; however, in some limited cases, they can optimize the process and timing, avoiding the need to move or interact only by telephone.",core; semantic_scholar,core:telepericia_avaliacao_remota:telepericia_avaliacao_remota_2; semantic_scholar:telepericia_avaliacao_remota:telepericia_avaliacao_remota_2,0.0,CONCLUIDA,92.0,PRIORIDADE_ALTA,96.0,Teleperícia e avaliação remota,"Estudo que aborda avaliação médica remota/teleperícia aplicada à determinação de status de deficiência, com discussão de análise documental, acessibilidade e tempo do processo.",,"O resumo descreve proposta de método telemático para aferição de status de deficiência no contexto médico-legal do INPS, incluindo comparação com métodos atuais, uso de documentos, sessão remota com comissão e otimização de tempo e acessibilidade. Alta aderência ao redesenho de fluxo entre análise documental e avaliação remota.",PENDENTE,,,NAO_INICIADO,,PENDENTE,,,,,,,,
pubmed:26679500,[Ophthalmological assessment in procedures for disability benefits for the blind : Why medical certificates alone are insufficient].,von Livonius B; Pause H; Ulbig M,2016,Der Ophthalmologe : Zeitschrift der Deutschen Ophthalmologischen Gesellschaft,10.1007/s00347-015-0189-1,https://pubmed.ncbi.nlm.nih.gov/26679500/,https://core.ac.uk/download/623894890.pdf,"Financial aid for the blind which is awarded based only on medical certificates and results of examinations has in the past resulted in too many false diagnoses; therefore, Bavaria seeks to pay financial aid to the blind only on the basis of a specific ophthalmological assessment according to the standards of the German pension medical ordinance (VersMedV, Versorgungsmedizinische Verordnung). Because these ophthalmological assessments initially contribute to a higher financial burden on the state, longer processing times and inconvenience to the patient, investigations should be undertaken to determine if ophthalmological findings, reports and medical certificates can be a suitable basis for an expert assessment and in how many cases blindness which had been certified by the original examination could be confirmed by a specific ophthalmological assessment.A total of 925 applications for financial assistance to the blind within the catchment area of the Bavarian Center for Family and Social Services (ZBFS, Zentrum Bayern Familie und Soziales) regional center in Upper Bavaria between 2003 and 2008, all of which had been subjected to an assessment by the same practitioner acting as external expert, were statistically analyzed.Of the 357 applicants who had been classified as blind according to the medical certificate and findings, 283 (79 %) were confirmed as being blind after the assessment and in 73 (21 %) blindness could not be confirmed. Of the 262 applicants who were classified as not being blind during the first examination, the diagnosis was confirmed in 192 (73 %) while 70 cases (27 %) were classified as blind. Of the 304 applicants for whom an assessment was not possible by the medical certification, 165 were ultimately classified as blind and 139 as not blind. Out of 32 applicants who were explicitly classified as being blind in the medical certificate, 13 were confirmed as being blind while the remaining 18 were classified in the subsequent assessment as not blind.Apart from unambiguous cases, the awarding of financial aid to the blind should only be based on an ophthalmological assessment which follows the VersMedV guidelines. Only this approach can result in an equal treatment of all applicants before the law and the awarding of financial aid to the blind to assist those truly in need. In addition, fiscal budget results revealed that the falsely awarded financial aid to the blind reached well beyond millions of Euros",core; pubmed,core:analise_documental_elegibilidade:analise_documental_elegibilidade_2; pubmed:analise_documental_elegibilidade:analise_documental_elegibilidade_2; pubmed:beneficios_incapacidade_avaliacao_medico_pericial:beneficios_incapacidade_avaliacao_medico_pericial_1,0.0,CONCLUIDA,90.0,PRIORIDADE_ALTA,95.0,Análise documental e elegibilidade,"Estudos que abordem triagem documental, elegibilidade, análise de documentos médicos, validação de atestados ou processos de decisão sobre incapacidade; estudos que tratem de qualidade decisória, controle e prevenção de fraude.",Nenhum critério de exclusão aparente pelo título e resumo.,"Título e resumo tratam diretamente de benefício por incapacidade/assistência ao cego, suficiência de certificados médicos, necessidade de avaliação oftalmológica específica, falsos diagnósticos, confirmação de elegibilidade e impacto em tempo de processamento. Há forte aderência aos eixos de análise documental, elegibilidade, qualidade decisória e controle.",PENDENTE,,,NAO_INICIADO,,PENDENTE,,,,,,,,
crossref:10.1080/09638288.2017.1366556,Assessing work disability for social security benefits: international models for the direct assessment of work capacity,Geiger; Garthwaite; Warren; Bambra,2018,Disability and Rehabilitation,10.1080/09638288.2017.1366556,https://doi.org/10.1080/09638288.2017.1366556,https://www.tandfonline.com/doi/pdf/10.1080/09638288.2017.1366556?needAccess=true,"PURPOSE: It has been argued that social security disability assessments should directly assess claimants' work capacity, rather than relying on proxies such as on functioning. However, there is little academic discussion of how such assessments could be conducted. METHOD: The article presents an account of different models of direct disability assessments based on case studies of the Netherlands, Germany, Denmark, Norway, the United States of America, Canada, Australia, and New Zealand, utilising over 150 documents and 40 expert interviews. RESULTS: Three models of direct work disability assessments can be observed: (i) structured assessment, which measures the functional demands of jobs across the national economy and compares these to claimants' functional capacities; (ii) demonstrated assessment, which looks at claimants' actual experiences in the labour market and infers a lack of work capacity from the failure of a concerned rehabilitation attempt; and (iii) expert assessment, based on the judgement of skilled professionals. CONCLUSIONS: Direct disability assessment within social security is not just theoretically desirable, but can be implemented in practice. We have shown that there are three distinct ways that this can be done, each with different strengths and weaknesses. Further research is needed to clarify the costs, validity/legitimacy, and consequences of these different models. Implications for rehabilitation It has recently been argued that social security disability assessments should directly assess work capacity rather than simply assessing functioning - but we have no understanding about how this can be done in practice. Based on case studies of nine countries, we show that direct disability assessment can be implemented, and argue that there are three different ways of doing it. These are ""demonstrated assessment"" (using claimants' experiences in the labour market), ""structured assessment"" (matching functional requirements to workplace demands), and ""expert assessment"" (the judgement of skilled professionals). While it is possible to implement a direct assessment of work capacity for social security benefits, further research is necessary to understand how best to maximise validity, legitimacy, and cost-effectiveness.",crossref; openalex; pubmed,crossref:beneficios_incapacidade_avaliacao_medico_pericial:beneficios_incapacidade_avaliacao_medico_pericial_1; openalex:analise_documental_elegibilidade:analise_documental_elegibilidade_1; pubmed:beneficios_incapacidade_avaliacao_medico_pericial:beneficios_incapacidade_avaliacao_medico_pericial_1,0.0,CONCLUIDA,90.0,PRIORIDADE_ALTA,95.0,Benefícios por incapacidade e avaliação médico-pericial,"Estudo analisa modelos internacionais de avaliação direta da capacidade laboral para benefícios de seguridade social, com comparação institucional entre países e discussão de métodos de assessment.","Não aborda explicitamente teleperícia ou fluxo operacional entre modalidades, mas isso não impede inclusão potencial por forte aderência ao eixo de avaliação médico-pericial e qualidade decisória.","O resumo mostra clara relação com avaliação de incapacidade para benefícios sociais, modelos de decisão, capacidade laboral e desenho institucional de assessment. É altamente pertinente para informar alternativas de avaliação e critérios decisórios.",PENDENTE,,,NAO_INICIADO,,PENDENTE,,,,,,,,
crossref:10.35371/aoem.2025.37.e24,Medical certification in sickness benefit scheme (II): practical approaches for evaluating work disability,Kim; Kim,2025,Annals of Occupational and Environmental Medicine,10.35371/aoem.2025.37.e24,https://doi.org/10.35371/aoem.2025.37.e24,https://europepmc.org/articles/PMC12671957?pdf=render,"Work disability evaluation plays a central role in medical certification in sickness benefit schemes. This guides effective decision making for return-to-work timelines. Countries that incorporate it have varied approaches. To improve fairness and consistency, Sweden adopted disease-specific guidelines, particularly for complex health conditions such as mental disorders, cancer, and neurological diseases, whereas in the United Kingdom, a fit note system highlights the ease of fitness-for-work assessments in clinical settings. For a successful implementation of the sickness benefit scheme in Korea, it is essential to review international acumen in work disability evaluation and medical certification. This study also examines challenges that physicians face in certification, factors influencing assessments, and the usefulness of disease-specific guidelines. In many countries, administrative burdens, uncertainty in diagnosis, and ethical conflicts complicate physicians' tasks. Countries such as Sweden, France, and Ireland, have addressed these issues by developing structured certification tools and support systems. Learnings from the recent Korean pilot programs, this review identifies the following core priorities: developing disease-specific guidelines, providing clinical support for physicians’ decisions, and integrating occupational health expertise. These guidelines should function not only as administrative checklists, but also as potential clinical tools that consider both patient functionality and job characteristics. Finally, this study offers policy and practical insights to help design a consistent and fair medical certification system for Korea’s sickness benefit program that encourages timely medical intervention, prevents presenteeism, and promotes sustainable workforce reintegration.",crossref; europe_pmc; pubmed; semantic_scholar,crossref:beneficios_incapacidade_avaliacao_medico_pericial:beneficios_incapacidade_avaliacao_medico_pericial_3; europe_pmc:beneficios_incapacidade_avaliacao_medico_pericial:beneficios_incapacidade_avaliacao_medico_pericial_3; pubmed:analise_documental_elegibilidade:analise_documental_elegibilidade_2; pubmed:beneficios_incapacidade_avaliacao_medico_pericial:beneficios_incapacidade_avaliacao_medico_pericial_3; semantic_scholar:beneficios_incapacidade_avaliacao_medico_pericial:beneficios_incapacidade_avaliacao_medico_pericial_3,0.0,CONCLUIDA,88.0,PRIORIDADE_ALTA,92.0,Benefícios por incapacidade e avaliação médico-pericial,"Analisa certificação médica em esquema de benefício por doença, avaliação de incapacidade laboral, diretrizes estruturadas, apoio à decisão e consistência/fairness nas avaliações.",Nenhum critério de exclusão evidente no título/resumo.,"Título e resumo tratam diretamente de avaliação de incapacidade para benefícios por doença e certificação médica, incluindo diretrizes, desafios decisórios e ferramentas estruturadas em diferentes países. Há aderência clara aos eixos de avaliação médico-pericial, elegibilidade documental e qualidade/consistência decisória.",PENDENTE,,,NAO_INICIADO,,PENDENTE,,,,,,,,
crossref:10.1192/pb.20.7.434,Mental health aspects of incapacity benefit,Measey,1996,Psychiatric Bulletin,10.1192/pb.20.7.434,https://doi.org/10.1192/pb.20.7.434,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/81D0E6F7D6E4ECAC35E75F26F4ADD248/S0955603600075449a.pdf/div-class-title-mental-health-aspects-of-incapacity-benefit-div.pdf,"In February 1994 the Royal College of Psychiatrists contacted the Benefits Agency Medical Services (BAMS) to take part in their consultation exercise before bringing in the new Incapacity Benefit (IB) in April 1995. This new benefit was to replace the then existing Invalidity Benefit which was being paid to over 250 000 people with a primary diagnosis of mental illness. The main changes were that a patient's own general practitioner (GP) would certify incapacity for work for the first 29 weeks of sickness and after this the continuation of benefit (IB) would require assessment by a BAMS doctor, with some illness categories being exempt from medical examination. The aim was to create standardised criteria across the UK and to do so in an objective fashion, based on function rather than diagnosis. The test is designed to look at ability to work in any capacity rather than the claimant's own work which is the criterion for the first 29 weeks.",crossref,crossref:beneficios_incapacidade_avaliacao_medico_pericial:beneficios_incapacidade_avaliacao_medico_pericial_2,0.0,CONCLUIDA,88.0,PRIORIDADE_ALTA,90.0,Benefícios por incapacidade e avaliação médico-pericial,"Resumo aborda explicitamente certificação inicial por GP, avaliação posterior por médico da agência, critérios padronizados, isenções de exame e teste funcional para continuidade do benefício por incapacidade.",Nenhum critério de exclusão evidente a partir de título e resumo.,"Registro altamente aderente: descreve arranjo institucional de avaliação de incapacidade, transição entre certificação documental e exame médico, critérios objetivos e processo decisório administrativo, todos diretamente relevantes para o redesenho de fluxos.",PENDENTE,,,NAO_INICIADO,,PENDENTE,,,,,,,,
openalex:https://openalex.org/W2276328784,Medical evidence and Incapacity Benefit: evaluation of a pilot study,Roy Sainsbury; Anne Corden; Nancy Moses Finch,2003,"White Rose Research Online (University of Leeds, The University of Sheffield, University of York)",,https://openalex.org/W2276328784,https://eprints.whiterose.ac.uk/id/eprint/73270/1/Document.pdf,"'A report of research carried out by the Social Policy Research Unit, University of York on behalf of the Department for Work and Pensions'. Includes bibliographical references: p. 107",core; openalex,core:beneficios_incapacidade_avaliacao_medico_pericial:beneficios_incapacidade_avaliacao_medico_pericial_2; openalex:analise_documental_elegibilidade:analise_documental_elegibilidade_3,0.0,CONCLUIDA,88.0,PRIORIDADE_ALTA,83.0,Análise documental e elegibilidade,"Avalia evidência médica em benefício por incapacidade e piloto institucional, potencialmente relacionada à análise documental, elegibilidade e decisão administrativa.",,"O título é fortemente alinhado ao uso de evidência médica em Incapacity Benefit e à avaliação de estudo piloto. Embora o resumo seja muito limitado, os metadados sugerem alta relevância para análise documental e decisão sobre elegibilidade.",PENDENTE,,,NAO_INICIADO,,PENDENTE,,,,,,,,
openalex:https://openalex.org/W1489873298,Judging without criteria? Sickness certification in Dutch disability schemes,Agnes Meershoek; Anja Krumeich; Rein Vos,2007,Sociology of Health & Illness,10.1111/j.1467-9566.2007.01009.x,https://doi.org/10.1111/j.1467-9566.2007.01009.x,,"The gate-keeping function that physicians perform in determining clients' physical and mental incapacities is widely assumed to be the main reason for the rising numbers of disabled people. The sharp rise in the number of disabled has led many to claim that the disability benefits schemes are untenable. In order to regain public control and to make disabled eligibility procedures more transparent guidelines have been introduced in which medical evaluations are conceptualised as formal rational decisions. It is, however, questionable whether such measures are helpful in achieving their stated aims. This paper is based on ethnographic research on the ways physicians evaluate the eligibility of clients for disability benefits. It argues that assessing incapacity involves much more than formal rational decision-making. Doctors' reasoning is contextual and deliberative in character, and thus their assessment of a client's incapacity is less a technical matter than a normative one. Instead of generating transparency, guidelines based on formal rationality make the complex deliberations on which such judgments are based invisible, because they deny the normative dimension of medical expert decision-making. Therefore, different measures have to be developed that allow this normative dimension to be articulated, since insight into this normative dimension is a necessary pre-condition to be able to criticise disability judgments at all.",openalex,openalex:analise_documental_elegibilidade:analise_documental_elegibilidade_2; openalex:beneficios_incapacidade_avaliacao_medico_pericial:beneficios_incapacidade_avaliacao_medico_pericial_2,0.0,CONCLUIDA,86.0,PRIORIDADE_ALTA,93.0,Análise documental e elegibilidade,"Estudos que analisem benefícios por incapacidade, certificação médica ou avaliação médico-pericial; Estudos que abordem triagem documental, elegibilidade, análise de documentos médicos, validação de atestados ou processos de decisão sobre incapacidade; Estudos que tratem de qual…",Nenhum critério de exclusão claramente aplicável com base em título e resumo.,"Aborda diretamente certificação de doença e esquemas de incapacidade na Holanda, com foco na função de gatekeeping dos médicos, elegibilidade, transparência, diretrizes e natureza decisória da avaliação. Alta aderência aos eixos de avaliação pericial, elegibilidade e controle decisório.",PENDENTE,,,NAO_INICIADO,,PENDENTE,,,,,,,,
semantic_scholar:6f79e6e87eb6a90fd2d832283ce271f1e039704c,The Korea National Disability Registration System,Miso Kim; Won Jung; S. Y. Kim; Jong Hyock Park; D. Shin,2023,Epidemiology and Health,10.4178/epih.e2023053,https://www.semanticscholar.org/paper/6f79e6e87eb6a90fd2d832283ce271f1e039704c,https://www.e-epih.org/upload/pdf/epih-e2023053-AOP.pdf,"The Korea National Disability Registration System (KNDRS) was established in 1989 to provide social welfare benefits based on predefined criteria for disability registration and an objective medical assessment using a disability grading system. Disability registration requires (1) a medical examination by a qualified specialist physician and (2) a medical advisory meeting to review the degree of disability. Medical institutions and specialists for the diagnosis of disabilities are legally stipulated, and medical records for a specified period are required to support the diagnosis. The number of disability types has gradually expanded, and 15 disability types have been legally defined. As of 2021, 2.645 million people were registered as disabled, accounting for approximately 5.1% of the total population. Among the 15 disability types, disabilities of the extremities account for the largest proportion (45.1%). Previous studies have investigated the epidemiology of disabilities using data from the KNDRS, combined predominantly with data from the National Health Insurance Research Database (NHIRD). Korea has a mandatory public health insurance system that covers the entire Korean population, and the National Health Insurance Services manages all eligibility information, including disability types and severity ratings. In short, the KNDRS-NHIRD is a significant data resource for research on the epidemiology of disabilities.",pubmed; semantic_scholar,pubmed:beneficios_incapacidade_avaliacao_medico_pericial:beneficios_incapacidade_avaliacao_medico_pericial_1; semantic_scholar:beneficios_incapacidade_avaliacao_medico_pericial:beneficios_incapacidade_avaliacao_medico_pericial_1,0.0,CONCLUIDA,84.0,PRIORIDADE_ALTA,86.0,Análise documental e elegibilidade,"Sistema nacional de registro de deficiência com critérios predefinidos, exame médico, reunião consultiva, exigência de prontuários/documentos e revisão do grau de deficiência para benefícios sociais.","Não aborda explicitamente teleperícia ou filas, mas isso não impede relevância.","Resumo descreve arranjo institucional de elegibilidade e avaliação médica para registro/benefícios por deficiência na Coreia, incluindo exame, revisão colegiada e documentação exigida. Tem alta utilidade comparada para desenho de fluxo, critérios auditáveis e análise documental.",PENDENTE,,,NAO_INICIADO,,PENDENTE,,,,,,,,
openalex:https://openalex.org/W2623186831,Who Is Screened Out? Application Costs and the Targeting of Disability Programs,Manasi Deshpande; Yue Li,2019,American Economic Journal Economic Policy,10.1257/pol.20180076,https://doi.org/10.1257/pol.20180076,https://www.aeaweb.org/articles/pdf/doi/10.1257/pol.20180076,"We study the effect of application costs on the targeting of disability programs. We identify these effects using the closings of Social Security Administration field offices, which provide assistance with filing disability applications. Closings lead to a persistent 16 percent decline in the number of disability recipients in surrounding areas, with the largest effects for applicants with moderately severe conditions and low education levels. Disability applications fall by only 10 percent, implying that the closings reduce targeting efficiency based on current eligibility standards. Increased congestion at neighboring offices appears more important as a channel than higher travel or information costs. (JEL H55, I13, I18, J14)",openalex,openalex:capacidade_filas_alocacao:capacidade_filas_alocacao_1,0.0,CONCLUIDA,82.0,PRIORIDADE_ALTA,95.0,Benefícios por incapacidade e avaliação médico-pericial,"Analisa programas de disability, custos de aplicação, targeting, fechamento de escritórios, congestionamento e acesso territorial/operacional.",Nenhum critério de exclusão evidente no título/resumo.,"Resumo diretamente relacionado a programas de incapacidade e efeitos de custos de aplicação sobre elegibilidade/targeting. Também aborda fechamento de escritórios, congestionamento e barreiras de acesso, altamente pertinente ao redesenho de fluxo e capacidade territorial.",PENDENTE,,,NAO_INICIADO,,PENDENTE,,,,,,,,
openalex:https://openalex.org/W2159370636,The development of instruments to measure the work disability assessment behaviour of insurance physicians,Romy Steenbeek; Antonius JM Schellart; Henny Mulders; Johannes R. Anema; Herman Kroneman; Jan Besseling,2011,BMC Public Health,10.1186/1471-2458-11-1,https://doi.org/10.1186/1471-2458-11-1,https://bmcpublichealth.biomedcentral.com/counter/pdf/10.1186/1471-2458-11-1,"BACKGROUND: Variation in assessments is a universal given, and work disability assessments by insurance physicians are no exception. Little is known about the considerations and views of insurance physicians that may partly explain such variation. On the basis of the Attitude--Social norm--self Efficacy (ASE) model, we have developed measurement instruments for assessment behaviour and its determinants. METHODS: Based on theory and interviews with insurance physicians the questionnaire included blocks of items concerning background variables, intentions, attitudes, social norms, self-efficacy, knowledge, barriers and behaviour of the insurance physicians in relation to work disability assessment issues. The responses of 231 insurance physicians were suitable for further analysis. Factor analysis and reliability analysis were used to form scale variables and homogeneity analysis was used to form dimension variables. Thus, we included 169 of the 177 original items. RESULTS: Factor analysis and reliability analysis yielded 29 scales with sufficient reliability. Homogeneity analysis yielded 19 dimensions. Scales and dimensions fitted with the concepts of the ASE model. We slightly modified the ASE model by dividing behaviour into two blocks: behaviour that reflects the assessment process and behaviour that reflects assessment behaviour.The picture that emerged from the descriptive results was of a group of physicians who were motivated in their job and positive about the Dutch social security system in general. However, only half of them had a positive opinion about the Dutch Work and Income (Capacity for Work) Act (WIA). They also reported serious barriers, the most common of which was work pressure. Finally, 73% of the insurance physicians described the majority of their cases as 'difficult'. CONCLUSIONS: The scales and dimensions developed appear to be valid and offer a promising basis for future research. The results suggest that the underlying ASE model, in modified form, is suitable for describing the assessment behaviour of insurance physicians and the determinants of this behaviour. The next step in this line of research should be to validate the model using structural equation modelling. Finally, the predictive value should be tested in relation to outcome measurements of work disability assessments.",openalex,openalex:analise_documental_elegibilidade:analise_documental_elegibilidade_2; openalex:beneficios_incapacidade_avaliacao_medico_pericial:beneficios_incapacidade_avaliacao_medico_pericial_3,0.0,CONCLUIDA,82.0,PRIORIDADE_ALTA,91.0,Benefícios por incapacidade e avaliação médico-pericial,"Estudo analisa comportamento de avaliação de médicos do seguro em work disability assessment, incluindo variação decisória e determinantes.",Nenhum critério de exclusão claramente aplicável pelo resumo.,"Alta aderência aparente: trata diretamente de avaliação de incapacidade laboral por médicos peritos/seguro, variação nas avaliações e instrumentos para medir comportamento decisório, tema útil para qualidade, padronização e controle.",PENDENTE,,,NAO_INICIADO,,PENDENTE,,,,,,,,
