id_registro,titulo,autores,ano,periodico,doi,url,url_pdf_aberto,resumo,fontes,consultas_busca,pontuacao_relevancia,status_pre_triagem_ia,escore_aderencia_ia,recomendacao_ia,confianca_ia,bloco_tematico_ia,criterio_inclusao_ia,criterio_exclusao_ia,justificativa_ia,decisao_titulo_resumo,motivo_exclusao_titulo_resumo,texto_completo_local,decisao_texto_completo,motivo_exclusao_texto_completo,incluir_final,observacoes,pais_contexto,objetivo_estudo,desenho_metodo,amostra_base,achados_principais,limitacoes,contribuicao_pergunta
openalex:https://openalex.org/W2016129290,"Evaluation of work disability and the international classification of functioning, disability and health: what to expect and what not",Jessica Anner; Urban Schwegler; Regina Kunz; Bruno Trezzini; Wout de Boer,2012,BMC Public Health,10.1186/1471-2458-12-470,https://doi.org/10.1186/1471-2458-12-470,https://bmcpublichealth.biomedcentral.com/counter/pdf/10.1186/1471-2458-12-470,"BACKGROUND: Individuals who are sick and unable to work may receive wage replacement benefits from an insurer. For these provisions, a disability evaluation is required. This disability evaluation is criticised for lack of standardisation and transparency. The International Classification of Functioning, Disability and Health (ICF) was developed to express the situation of people with disability. We discuss potential benefits of the ICF to structure and phrase disability evaluation in the field of social insurance. We describe core features of disability evaluation of the ICF across countries. We address how and to what extent the ICF may be applied in disability evaluation. DISCUSSION: The medical reports in disability evaluation contain the following core features: health condition, functional capacity, socio-medical history, feasibility of interventions and prognosis of work disability. Reports also address consistency, causal relations according to legal requirements, and ability to work. The ICF consists of a conceptual framework of functioning, disability and health, definitions referring to functioning, disability and health, and a hierarchical classification of these definitions. The ICF component 'activities and participation' is suited to capture functional capacity. Interventions can be described as environmental factors but these would need an additional qualifier to indicate feasibility. The components 'participation' and 'environmental factors' are suited to capture work requirements. The socio-medical history, the prognosis, and legal requirements are problematic to capture with both the ICF framework and classification. SUMMARY: The ICF framework reflects modern thinking in disability evaluation. It allows for the medical expert to describe work disability as a bio-psycho-social concept, and what components are of importance in disability evaluation for the medical expert. The ICF definitions for body functions, structures, activity and participation, and environmental factors cover essential parts of disability evaluation. The ICF framework and definitions are however limited with respect to comprehensive descriptions of work disability.",openalex,openalex:analise_documental_elegibilidade:analise_documental_elegibilidade_3,0.0,CONCLUIDA,90.0,PRIORIDADE_ALTA,97.0,Benefícios por incapacidade e avaliação médico-pericial,"Estudo que analisa avaliação de incapacidade para benefícios, relatórios médicos, padronização, transparência e decisão em seguro social.",Nenhum critério de exclusão claramente aplicável.,"O resumo trata diretamente de avaliação de incapacidade para reposição salarial por seguradora, estrutura de relatórios médicos, capacidade funcional, requisitos legais, transparência e padronização. É altamente aderente ao eixo de avaliação médico-pericial e qualidade decisória.",PENDENTE,,,NAO_INICIADO,,PENDENTE,,,,,,,,
semantic_scholar:daf0642c3cc63c4fe571e7d8a2c7fd20371e796d,Telehealth Intervention: A Proposal for a Telemedicine Manual to Ascertain the Civil Disability Status in Italy,N. Di Fazio; G. Delogu; D. Morena; Eugenia Carfora; Dalila Tripi; R. Rinaldi; P. Frati; V. Fineschi,2024,International Journal of Environmental Research and Public Health,10.3390/ijerph21030253,https://www.semanticscholar.org/paper/daf0642c3cc63c4fe571e7d8a2c7fd20371e796d,https://www.mdpi.com/1660-4601/21/3/253/pdf?version=1708613056,"(1) This paper aims to propose a telematic method for assessing the state of disability by a social worker member of the Medico-Legal Commissions of INPS. (2) We have proceeded to delve into and compare the current methods with new strategies to enhance the experience linked to the assessment of the status of disability in terms of timing and accessibility, eliminating the need for a direct visit. (3) The proposed protocol can be applied in cases where patients cannot be physically moved, following a medical visit at home, and when the mere evaluation of documents is sufficient. In both cases, a remote session with the Commission is necessary to fill in the required information about the socio-environmental section. This protocol can be applied to different platforms such as Skype™ since it is free and widely used throughout the country. (4) It should be noted that telemedicine solutions cannot completely replace face-to-face interaction; however, in some limited cases, they can optimize the process and timing, avoiding the need to move or interact only by telephone.",semantic_scholar,semantic_scholar:telepericia_avaliacao_remota:telepericia_avaliacao_remota_1; semantic_scholar:telepericia_avaliacao_remota:telepericia_avaliacao_remota_2,0.0,CONCLUIDA,90.0,PRIORIDADE_ALTA,96.0,Teleperícia e avaliação remota,"Estudos que examinem teleperícia, avaliação médica remota, modalidades híbridas de avaliação; estudos sobre análise documental, elegibilidade e acesso.",Nenhum critério de exclusão evidente no título/resumo.,"Resumo descreve proposta de telemedicina para apuração do status civil de deficiência na Itália, com comparação de métodos atuais, uso de documentos, sessão remota com comissão, e foco em tempo e acessibilidade. Alta aderência aos eixos de teleperícia, análise documental e desenho de fluxo híbrido.",PENDENTE,,,NAO_INICIADO,,PENDENTE,,,,,,,,
semantic_scholar:38751410ad9679234d66dc6f80e9c29dc676e894,Medical certification in sickness benefit schemes (I): theoretical perspectives and return-to-work,Yangwoo Kim; Inah Kim,2025,Annals of Occupational and Environmental Medicine,10.35371/aoem.2025.37.e23,https://www.semanticscholar.org/paper/38751410ad9679234d66dc6f80e9c29dc676e894,https://europepmc.org/articles/PMC12671951?pdf=render,"This study explores the theoretical foundations and practical applications of medical certification within the sickness benefit systems, particularly in the context of Korea’s pilot program and its planned national rollout. While sickness benefit systems have long existed in many Organization for Economic Cooperation and Development (OECD) countries, Korea has only recently initiated pilot projects, largely prompted by the coronavirus disease 2019 pandemic. These systems aim to compensate for income loss due to illness or injury, and medical certification plays a central role in determining eligibility and work ability. This study defines medical certification as a two-stage process: clinical diagnosis and formal assessment of a worker’s ability to return-to-work. The dual nature highlights the distinct objectives of the medical treatment and social security policies. Drawing on international practices, this study reviews the International Classification of Functioning, Disability, and Health (ICF) as a key global framework for assessing disability and work ability, although it acknowledges the limitations of its application to sickness benefits. The research emphasizes a shift in global trends toward return-to-work–oriented certification models, such as the UK’s “fit note” system, which focuses on evaluating fitness-for-work rather than merely documenting illness. Sweden and Japan also offer models that integrate rehabilitation with flexible work accommodations. Three key issues were identified in Korea’s system: the role of medical certification and concerns about moral hazard, the burden of proof and workload on physicians, and public perceptions of the program’s purpose. We believe that medical certification should not only verify illness but also support early intervention and a healthy workforce. Ultimately, this study advocates for a balanced and efficient medical certification system tailored to Korea’s healthcare context closely aligning with labor market policies to ensure long-term sustenance and integration of the sickness benefit program.",europe_pmc; pubmed; semantic_scholar,europe_pmc:analise_documental_elegibilidade:analise_documental_elegibilidade_2; europe_pmc:beneficios_incapacidade_avaliacao_medico_pericial:beneficios_incapacidade_avaliacao_medico_pericial_3; pubmed:analise_documental_elegibilidade:analise_documental_elegibilidade_2; pubmed:beneficios_incapacidade_avaliacao_medico_pericial:beneficios_incapacidade_avaliacao_medico_pericial_3; semantic_scholar:beneficios_incapacidade_avaliacao_medico_pericial:beneficios_incapacidade_avaliacao_medico_pericial_3,0.0,CONCLUIDA,90.0,PRIORIDADE_ALTA,95.0,Análise documental e elegibilidade,"Estudos que analisem benefícios por incapacidade, certificação médica ou avaliação médico-pericial; estudos que abordem elegibilidade, análise de documentos médicos ou processos de decisão sobre incapacidade.",,"Resumo trata diretamente de sistemas de benefício por doença, certificação médica, elegibilidade, capacidade para o trabalho e fundamentos teóricos da avaliação. Muito aderente ao redesenho de fluxos decisórios.",PENDENTE,,,NAO_INICIADO,,PENDENTE,,,,,,,,
crossref:10.1080/09638288.2017.1366556,Assessing work disability for social security benefits: international models for the direct assessment of work capacity,Geiger; Garthwaite; Warren; Bambra,2018,Disability and Rehabilitation,10.1080/09638288.2017.1366556,https://doi.org/10.1080/09638288.2017.1366556,https://www.tandfonline.com/doi/pdf/10.1080/09638288.2017.1366556?needAccess=true,"PURPOSE: It has been argued that social security disability assessments should directly assess claimants' work capacity, rather than relying on proxies such as on functioning. However, there is little academic discussion of how such assessments could be conducted. METHOD: The article presents an account of different models of direct disability assessments based on case studies of the Netherlands, Germany, Denmark, Norway, the United States of America, Canada, Australia, and New Zealand, utilising over 150 documents and 40 expert interviews. RESULTS: Three models of direct work disability assessments can be observed: (i) structured assessment, which measures the functional demands of jobs across the national economy and compares these to claimants' functional capacities; (ii) demonstrated assessment, which looks at claimants' actual experiences in the labour market and infers a lack of work capacity from the failure of a concerned rehabilitation attempt; and (iii) expert assessment, based on the judgement of skilled professionals. CONCLUSIONS: Direct disability assessment within social security is not just theoretically desirable, but can be implemented in practice. We have shown that there are three distinct ways that this can be done, each with different strengths and weaknesses. Further research is needed to clarify the costs, validity/legitimacy, and consequences of these different models. Implications for rehabilitation It has recently been argued that social security disability assessments should directly assess work capacity rather than simply assessing functioning - but we have no understanding about how this can be done in practice. Based on case studies of nine countries, we show that direct disability assessment can be implemented, and argue that there are three different ways of doing it. These are ""demonstrated assessment"" (using claimants' experiences in the labour market), ""structured assessment"" (matching functional requirements to workplace demands), and ""expert assessment"" (the judgement of skilled professionals). While it is possible to implement a direct assessment of work capacity for social security benefits, further research is necessary to understand how best to maximise validity, legitimacy, and cost-effectiveness.",crossref; openalex; pubmed,crossref:beneficios_incapacidade_avaliacao_medico_pericial:beneficios_incapacidade_avaliacao_medico_pericial_1; openalex:analise_documental_elegibilidade:analise_documental_elegibilidade_1; pubmed:beneficios_incapacidade_avaliacao_medico_pericial:beneficios_incapacidade_avaliacao_medico_pericial_1,0.0,CONCLUIDA,90.0,PRIORIDADE_ALTA,94.0,Benefícios por incapacidade e avaliação médico-pericial,"Estudo analisa modelos internacionais de avaliação direta da capacidade laboral para benefícios de seguridade social, com foco explícito em processos de avaliação e decisão sobre incapacidade.","Não aborda explicitamente teleperícia ou filas, mas isso não compromete a aderência principal.","Resumo claramente pertinente: compara modelos de avaliação de incapacidade para benefícios previdenciários/seguridade social em vários países, com base documental e entrevistas com especialistas. Contribui diretamente para desenho de processos decisórios e critérios de avaliação.",PENDENTE,,,NAO_INICIADO,,PENDENTE,,,,,,,,
semantic_scholar:d7b58cfe7a153fb0b4c887111eaa4a9a9850e463,Medical certification in sickness benefit scheme (II): practical approaches for evaluating work disability,Yangwoo Kim; Inah Kim,2025,Annals of Occupational and Environmental Medicine,10.35371/aoem.2025.37.e24,https://www.semanticscholar.org/paper/d7b58cfe7a153fb0b4c887111eaa4a9a9850e463,https://europepmc.org/articles/PMC12671957?pdf=render,"Work disability evaluation plays a central role in medical certification in sickness benefit schemes. This guides effective decision making for return-to-work timelines. Countries that incorporate it have varied approaches. To improve fairness and consistency, Sweden adopted disease-specific guidelines, particularly for complex health conditions such as mental disorders, cancer, and neurological diseases, whereas in the United Kingdom, a fit note system highlights the ease of fitness-for-work assessments in clinical settings. For a successful implementation of the sickness benefit scheme in Korea, it is essential to review international acumen in work disability evaluation and medical certification. This study also examines challenges that physicians face in certification, factors influencing assessments, and the usefulness of disease-specific guidelines. In many countries, administrative burdens, uncertainty in diagnosis, and ethical conflicts complicate physicians' tasks. Countries such as Sweden, France, and Ireland, have addressed these issues by developing structured certification tools and support systems. Learnings from the recent Korean pilot programs, this review identifies the following core priorities: developing disease-specific guidelines, providing clinical support for physicians’ decisions, and integrating occupational health expertise. These guidelines should function not only as administrative checklists, but also as potential clinical tools that consider both patient functionality and job characteristics. Finally, this study offers policy and practical insights to help design a consistent and fair medical certification system for Korea’s sickness benefit program that encourages timely medical intervention, prevents presenteeism, and promotes sustainable workforce reintegration.",europe_pmc; pubmed; semantic_scholar,europe_pmc:beneficios_incapacidade_avaliacao_medico_pericial:beneficios_incapacidade_avaliacao_medico_pericial_3; pubmed:analise_documental_elegibilidade:analise_documental_elegibilidade_2; pubmed:beneficios_incapacidade_avaliacao_medico_pericial:beneficios_incapacidade_avaliacao_medico_pericial_3; semantic_scholar:analise_documental_elegibilidade:analise_documental_elegibilidade_2; semantic_scholar:beneficios_incapacidade_avaliacao_medico_pericial:beneficios_incapacidade_avaliacao_medico_pericial_3,0.0,CONCLUIDA,88.0,PRIORIDADE_ALTA,95.0,Benefícios por incapacidade e avaliação médico-pericial,"Estudos que analisem benefícios por incapacidade, certificação médica ou avaliação médico-pericial; estudos que abordem triagem documental, elegibilidade, análise de documentos médicos ou processos de decisão sobre incapacidade.",,"Revisão explicitamente centrada em certificação médica em esquemas de benefício por doença, avaliação de incapacidade laboral, diretrizes estruturadas e desafios decisórios dos médicos. Alta aderência ao eixo de elegibilidade e avaliação pericial.",PENDENTE,,,NAO_INICIADO,,PENDENTE,,,,,,,,
openalex:https://openalex.org/W2623186831,Who Is Screened Out? Application Costs and the Targeting of Disability Programs,Manasi Deshpande; Yue Li,2019,American Economic Journal Economic Policy,10.1257/pol.20180076,https://doi.org/10.1257/pol.20180076,https://www.aeaweb.org/articles/pdf/doi/10.1257/pol.20180076,"We study the effect of application costs on the targeting of disability programs. We identify these effects using the closings of Social Security Administration field offices, which provide assistance with filing disability applications. Closings lead to a persistent 16 percent decline in the number of disability recipients in surrounding areas, with the largest effects for applicants with moderately severe conditions and low education levels. Disability applications fall by only 10 percent, implying that the closings reduce targeting efficiency based on current eligibility standards. Increased congestion at neighboring offices appears more important as a channel than higher travel or information costs. (JEL H55, I13, I18, J14)",openalex,openalex:capacidade_filas_alocacao:capacidade_filas_alocacao_1,0.0,CONCLUIDA,88.0,PRIORIDADE_ALTA,95.0,"Equidade territorial, qualidade e controle","Analisa programas de disability, custos de aplicação, acesso territorial/fechamento de escritórios, congestionamento e eficiência de focalização/eligibilidade.",Nenhum aparente pelos metadados.,"Muito aderente: trata de programas de incapacidade, barreiras de acesso, congestionamento operacional e efeitos sobre focalização/eligibilidade, elementos diretamente úteis para desenho de fluxo e equidade territorial.",PENDENTE,,,NAO_INICIADO,,PENDENTE,,,,,,,,
openalex:https://openalex.org/W2276328784,Medical evidence and Incapacity Benefit: evaluation of a pilot study,Roy Sainsbury; Anne Corden; Nancy Moses Finch,2003,"White Rose Research Online (University of Leeds, The University of Sheffield, University of York)",,https://openalex.org/W2276328784,https://eprints.whiterose.ac.uk/id/eprint/73270/1/Document.pdf,"'A report of research carried out by the Social Policy Research Unit, University of York on behalf of the Department for Work and Pensions'. Includes bibliographical references: p. 107",openalex,openalex:analise_documental_elegibilidade:analise_documental_elegibilidade_3,0.0,CONCLUIDA,88.0,PRIORIDADE_ALTA,93.0,Análise documental e elegibilidade,"Estudo sobre evidência médica e benefício por incapacidade, com avaliação de piloto potencialmente ligado à análise documental e decisão de elegibilidade.",Nenhum claramente aplicável a partir dos metadados.,"O título aponta diretamente para evidência médica e Incapacity Benefit, além de avaliar um estudo piloto. Mesmo com resumo limitado, a pertinência ao eixo de análise documental/elegibilidade e decisão administrativa é forte.",PENDENTE,,,NAO_INICIADO,,PENDENTE,,,,,,,,
semantic_scholar:55269e61b1d9649932b430a933ca9e6b0531f791,‘Working is out of the question’: a qualitative text analysis of medical certificates of disability,Guri Aarseth; B. Natvig; Eivind Engebretsen; A. Lie,2017,BMC Family Practice,10.1186/s12875-017-0627-z,https://www.semanticscholar.org/paper/55269e61b1d9649932b430a933ca9e6b0531f791,https://bmcfampract.biomedcentral.com/track/pdf/10.1186/s12875-017-0627-z,"BackgroundMedical certificates influence the distribution of economic benefits in welfare states; however, the qualitative aspects of these texts remain largely unexplored. The present study is the first systematic investigation done of these texts. Our aim was to investigate how GPs select and mediate information about their patients’ health and how they support their conclusions about illness, functioning and fitness for work in medical certificates.MethodsWe performed a textual analysis of thirty-three medical certificates produced by general practitioners (GP) in Norway at the request of the Norwegian Labour and Welfare Administration (NAV).The certificates were subjected to critical reading using the combined analytic methods of narratology and linguistics.ResultsSome of the medical information was unclear, ambiguous, and possibly misleading. Evaluations of functioning related to illness were scarce or absent, regardless of diagnosis, and, hence, the basis of working incapacity was unclear. Voices in the text frequently conflated, obscuring the source of speaker. In some documents, the expert’s subtle use of language implied doubts about the claimant’s credibility, but explicit advocacy also occurred. GPs show little insight into their patients’ working lives, but rather than express uncertainty and incompetence, they may resort to making too absolute and too general statements about patients’ working capacity, and fail to report thorough assessments.ConclusionsA number of the texts in our material may not function as sufficient or reliable sources for making decisions regarding social benefits. Certificates as these may be deficient for several reasons, and textual incompetence may be one of them. Physicians in Norway receive no systematic training in professional writing. High-quality medical certificates, we believe, might be economical in the long term: it might increase the efficiency with which NAV processes cases and save costs by eliminating the need for unnecessary and expensive specialist reports. Moreover, correct and coherent medical certificates can strengthen legal protection for claimants. Eventually, reducing advocacy in these documents may contribute to a fairer evaluation of whether claimants are eligible for disability benefits or not. Therefore, we believe that professional writing skills should be validated as an important part of medical practice and should be integrated in medical schools and in further education as a discipline in its own right, preferably involving humanities professors.",pubmed; semantic_scholar,pubmed:beneficios_incapacidade_avaliacao_medico_pericial:beneficios_incapacidade_avaliacao_medico_pericial_2; semantic_scholar:analise_documental_elegibilidade:analise_documental_elegibilidade_2,0.0,CONCLUIDA,88.0,PRIORIDADE_ALTA,93.0,Análise documental e elegibilidade,"Examina certificados médicos de incapacidade, seleção/mediação de informações, suporte à conclusão sobre funcionalidade e aptidão para o trabalho.",,"O resumo é diretamente alinhado ao eixo de análise documental e qualidade decisória: investiga conteúdo, clareza e ambiguidades em certificados médicos usados pela administração laboral/previdenciária, incluindo base para incapacidade laboral e credibilidade do requerente.",PENDENTE,,,NAO_INICIADO,,PENDENTE,,,,,,,,
openalex:https://openalex.org/W1489873298,Judging without criteria? Sickness certification in Dutch disability schemes,Agnes Meershoek; Anja Krumeich; Rein Vos,2007,Sociology of Health & Illness,10.1111/j.1467-9566.2007.01009.x,https://doi.org/10.1111/j.1467-9566.2007.01009.x,,"The gate-keeping function that physicians perform in determining clients' physical and mental incapacities is widely assumed to be the main reason for the rising numbers of disabled people. The sharp rise in the number of disabled has led many to claim that the disability benefits schemes are untenable. In order to regain public control and to make disabled eligibility procedures more transparent guidelines have been introduced in which medical evaluations are conceptualised as formal rational decisions. It is, however, questionable whether such measures are helpful in achieving their stated aims. This paper is based on ethnographic research on the ways physicians evaluate the eligibility of clients for disability benefits. It argues that assessing incapacity involves much more than formal rational decision-making. Doctors' reasoning is contextual and deliberative in character, and thus their assessment of a client's incapacity is less a technical matter than a normative one. Instead of generating transparency, guidelines based on formal rationality make the complex deliberations on which such judgments are based invisible, because they deny the normative dimension of medical expert decision-making. Therefore, different measures have to be developed that allow this normative dimension to be articulated, since insight into this normative dimension is a necessary pre-condition to be able to criticise disability judgments at all.",openalex,openalex:analise_documental_elegibilidade:analise_documental_elegibilidade_2; openalex:beneficios_incapacidade_avaliacao_medico_pericial:beneficios_incapacidade_avaliacao_medico_pericial_2,0.0,CONCLUIDA,88.0,PRIORIDADE_ALTA,92.0,Benefícios por incapacidade e avaliação médico-pericial,"Estudos que analisem benefícios por incapacidade, afastamento por doença, seguro por incapacidade, certificação médica ou avaliação médico-pericial.; Estudos que tratem de qualidade decisória, confiabilidade, auditoria, controle, integridade, prevenção de fraude, revisão de deci…",,"O título e resumo tratam diretamente de certificação por doença e elegibilidade em esquemas de incapacidade na Holanda, discutindo julgamento médico, transparência, diretrizes e qualidade/controle decisório. Alta aderência ao eixo de avaliação médico-pericial e qualidade decisória.",PENDENTE,,,NAO_INICIADO,,PENDENTE,,,,,,,,
semantic_scholar:a449992ea8567c2e5793d748e371f226bb0e18e5,Certification of disability: A Scoping review,Jaime Moreno-Chaparro; Lina Franco-Ibarra; O. B. Guzmán-Suárez; Flor Esperanza Rodríguez-Ferro; J. M. Arango-Soler; O. L. Peñas-Felizzola,2024,Revista de la Facultad de Medicina,10.15446/revfacmed.v72n4.113654,https://www.semanticscholar.org/paper/a449992ea8567c2e5793d748e371f226bb0e18e5,https://revistas.unal.edu.co/index.php/revfacmed/article/download/113654/94115,"Introduction: The certification of disability emerged as a form of access to rights for persons with disabilities. However, aspects such as its denomination, approval and issuance process, and uses/benefits vary worldwide. Objective: To analyze available information on the disability certification process, whether it is referred to as certification, recognition, credential, or any other similar document. Materials and methods: Scoping review (OSF protocol record: 10.17605/OSF.IO/AHRB7). A search was conducted in Medline (PubMed), EMBASE, SCOPUS, LILACS (VHL regional portal), Web of Science, and additional literature sources and web pages of Latin American and OECD member countries' agencies and institutional entities. Studies and documents published between December 13, 2006, and August 21, 2023, in English, Spanish or Portuguese were considered. Results are presented in a descriptive-narrative form with a meta-aggregate approach and with emphasis on the concept. Results: Database searches resulted in the inclusion of 46 studies, with the majority being from India (n=20, 43.47%). In addition, 25 documents issued by 22 countries were included in the review based on searches in agency and institutional websites. Of these 22 countries, 19 (86.36%) use the World Health Organization definition and 13 (59.09%) refer to the document certifying the disability as a “disability certificate”. In all 22 countries, the process of issuing a certification is regulated by government entities and operated by health personnel, and they all require a valid identity document to initiate the certification process, with 95.45% of them basing the process on a medical diagnosis. The main benefits of this certificate include discounts on taxes and public transportation, and access to labor inclusion programs. Conclusions: The process of certifying disability in the 22 OECD and Latin American countries for which documents on disability certification were found is based on the globally accepted concept of disability, is regulated by government agencies, and is mostly based on a medical diagnosis (medical history review or evaluation by a medical board).",semantic_scholar,semantic_scholar:analise_documental_elegibilidade:analise_documental_elegibilidade_2,0.0,CONCLUIDA,86.0,PRIORIDADE_ALTA,91.0,Análise documental e elegibilidade,"Revisão de escopo sobre processos de certificação de deficiência, emissão, aprovação, usos/benefícios e documentos institucionais em múltiplos países.",,"Trata-se de revisão de escopo explicitamente sobre certificação de deficiência, cobrindo processo de emissão/aprovação e usos para acesso a direitos. Tem potencial alto para informar alternativas institucionais e critérios de elegibilidade/documentação.",PENDENTE,,,NAO_INICIADO,,PENDENTE,,,,,,,,
